Galaxy Name,Hubble Type (1),Distance,Mean error on D,Distance Method (2),Inclination,Mean error on Inc,Total Luminosity at [3.6],Mean error on L[3.6],Effective Radius at [3.6],Effective Surface Brightness at [3.6],Disk Scale Length at [3.6],Disk Central Surface Brightness at [3.6],Total HI Mass,HI radius at 1 Msun/pc2,Asymptotically Flat Rotation Velocity,Mean error on Vflat,Quality Flag,References for HI and Ha data,References for HI and Ha data 2,
N5585,7,7.06,2.12,1,51,2,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,Bl99,Sa96,Co91
N5907,5,17.3,0.9,2,88,2,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0,215,2.9,1,Sa96,SA87,
N5985,3,39.7,9.9,1,60,2,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,Bl04,Br92,
N6015,6,17,5.1,1,60,2,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7,2,VM97,,
N6195,3,127.8,12.8,1,62,5,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,,
N6503,6,6.26,0.31,2,74,2,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,Be91,Be87,
N6674,3,51.2,10.2,1,54,6,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,Sa96,Br92,
N6789,11,3.52,0.18,2,43,7,0.1,0.003,0.52,59.27,0.31,319.76,0.017,0.97,0,0,2,Le14,,
N6946,6,5.52,1.66,2,38,2,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,,
N7331,3,14.7,1.5,3,75,2,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239,5.4,1,Be91,Be87,
N7793,7,3.61,0.18,2,47,9,7.05,0.026,2.19,233.79,1.21,1068.64,0.861,7.35,0,0,1,Di08,Sa96,CP90
N7814,2,14.4,0.66,2,90,1,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7,1,Fr11,,
,PGC51017,11,13.6,1.4,2,66,3,0.155,0.014,1.28,15.03,0.53,93.94,0.201,4.29,18.6,1.3,3,Le14,
U00128,8,64.5,9.7,1,57,10,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,VB99,VH93,
U00191,9,17.1,5.1,1,45,5,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0,0,1,KN08,vZ97,
U00634,9,30.9,7.7,1,37,8,2.989,0.146,4.26,26.11,2.45,126.13,3.663,16.78,0,0,2,vZ97,,
U00731,10,12.5,3.75,1,57,3,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,Sw09,Sw02,
U00891,9,10.2,3.1,1,60,5,0.374,0.017,1.76,19.09,1.43,113.98,0.428,6.23,0,0,2,vZ97,,
U01230,9,53.7,10.7,1,22,10,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,dB02,VdH93,
U01281,8,5.27,0.24,2,90,1,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,dB02,Sw02,
U02023,10,10.4,3.1,1,19,10,1.308,0.033,2.73,27.59,1.55,121.57,0.477,6.5,0,0,2,Sw09,Sw02,
U02259,8,10.5,3.1,1,41,3,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,Be91,Ca88,
U02455,10,6.92,2.08,1,51,5,3.649,0.034,1.49,254,0.99,795.85,0.803,7.11,0,0,3,Sw09,Sw02,
U02487,0,69.1,10.4,1,36,5,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332,3.5,1,No07,No05,
U02885,5,80.6,8.06,1,64,4,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12,1,Sa96,RA85,
U02916,2,65.4,9.8,1,50,5,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,No07,No05,
U02953,2,16.5,4.95,1,50,4,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24,264.9,6,2,No07,No05,
U03205,2,50,10,1,67,4,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,No07,No05,
U03546,1,28.7,7.2,1,55,5,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,No07,No05,
U03580,1,20.7,5.2,1,63,4,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,No07,No05,
U04278,7,9.51,2.85,1,90,3,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,dB02,Sw02,
U04305,10,3.45,0.17,2,40,10,0.736,0.007,1.23,76.71,1.16,88.07,0.69,7.41,34.5,2.7,3,Sw09,Sw02,
U04325,9,9.6,2.88,1,41,3,2.026,0.035,2.79,41,1.86,213.22,0.678,6.61,90.9,2.7,1,Sw09,Sw02,
U04483,10,3.34,0.31,2,58,3,0.013,0.001,0.26,29.71,0.18,82.57,0.032,1.46,0,0,2,Le14,Le12,
U04499,8,12.5,3.75,1,50,3,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,Sw09,Sw02,
U05005,10,53.7,10.7,1,41,10,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,dB02,VH93,
U05253,2,22.9,5.72,1,37,4,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,No07,No05,
U05414,10,9.4,2.82,1,55,3,1.123,0.028,2.33,32.87,1.47,127.3,0.574,6.65,0,0,1,Sw09,Sw02,
U05716,9,21.3,5.3,1,54,10,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,,
